Site_Name,Combined_Name_Year_Range,Combined_Name_Year_Lat_Lon,Lat,Lon,Date,Q,Q_2w,Q_1m,WaterTemp,DO,SpecCond.,Salinity,NTU,pH,NH4,NO3,OrgC,Total_OrgC,OrgN,PO4,TP,TDS,Microcystis_totbvL,Microcystis_CC,ToxinProdc_Microcystis_CC,Microcystin
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,7/14/2014,20.0647,30.5923,90.0223,22.63,7.96,2910,1.49,15.1,8.17,0,0.3,2.4,2.7,0.3,0.08,0.12,1639,64600000000,261758,173314,1.54
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,7/28/2014,65.2032,95.654,75.278,22.76,7.61,4214,2.22,16.9,7.88,0.04,0.31,2.3,2.6,0.4,0.08,0.11,2398,4720000000,18700,11175,0.62
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,8/11/2014,90.3902,78.7872,147.2449,22.08,8.08,4448,2.35,16.8,7.75,0.04,0.3,2.5,2.6,0.4,0.09,0.13,2452,9490000000,36500,16333,0.42
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,8/25/2014,98.6538,147.5562,98.2576,21.15,8.35,4164,2.19,13.1,8.03,0.02,0.24,3,2.6,1.6,0.06,0.12,2322,6760000000,95500,72439,0
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,9/11/2014,-37.6673,53.5436,45.3083,20.65,8.25,5404,2.89,21.2,7.83,0.03,0.32,2.1,2.1,0.4,0.09,0.12,3020,4530000000,13800,23857,1.06
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,9/29/2014,-46.1856,-43.3839,-28.7811,20.75,8.05,7295,4,8.2,8.02,0.05,0.34,2.4,2.5,0.4,0.1,0.11,4112,851000000,16000,5472,0.64
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,10/13/2014,-50.6853,-42.0255,-62.826,20.34,8.04,7682,4.23,7.3,7.86,0.04,0.36,2.1,2.1,0.3,0.11,0.11,4232,597000000,20600,2008,0.31
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,10/27/2014,11.6879,-16.0461,-28.7528,18.62,8.41,8249,4.56,5.9,7.54,0.05,0.41,2.2,2.3,0.2,0.1,0.11,4660,988000000,12500,6836,0
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,11/10/2014,-51.0815,57.8169,-19.0176,17.39,8.26,6882,3.75,8.7,7.53,0.05,0.45,1.9,2,0.3,0.09,0.1,3796,157000000,19200,4024,0
AT_DWR_Site_D12_EMP_Site,AT_DWR_Site_D12_EMP_Site_2014-2015,AT_DWR_Site_D12_EMP_Site_2014_38.0232_-121.8071,38.0232,-121.8071,11/24/2014,-10.5842,-39.054,7.3863,14.64,8.89,6275,3.4,11.5,7.66,0.1,0.55,1.9,2,0,0.09,0.1,3548,49300000,6390,624,0
